Group,Race,Label,Value
0 - 21,White,Pop,118443
0 - 21,Black,Pop,10966
0 - 21,Hispanic,Pop,31049
0 - 21,Other,Pop,12537
0 - 21,Total,Pop,172995
0 - 5,White,Pop,26388
0 - 5,Black,Pop,2309
0 - 5,Hispanic,Pop,9000
0 - 5,Other,Pop,3872
0 - 5,Total,Pop,41569
6 - 9,White,Pop,22165
6 - 9,Black,Pop,1806
6 - 9,Hispanic,Pop,5582
6 - 9,Other,Pop,2535
6 - 9,Total,Pop,32088
10 - 15,White,Pop,37714
10 - 15,Black,Pop,3178
10 - 15,Hispanic,Pop,8462
10 - 15,Other,Pop,3475
10 - 15,Total,Pop,52829
16 - 19,White,Pop,23541
16 - 19,Black,Pop,2559
16 - 19,Hispanic,Pop,5530
16 - 19,Other,Pop,1935
16 - 19,Total,Pop,33565
20 - 21,White,Pop,8635
20 - 21,Black,Pop,1114
20 - 21,Hispanic,Pop,2475
20 - 21,Other,Pop,720
20 - 21,Total,Pop,12944
0 - 21,White,Tx,8409
0 - 21,Black,Tx,779
0 - 21,Hispanic,Tx,2204
0 - 21,Other,Tx,890
0 - 21,Total,Tx,12283
0 - 5,White,Tx,1874
0 - 5,Black,Tx,164
0 - 5,Hispanic,Tx,639
0 - 5,Other,Tx,275
0 - 5,Total,Tx,2951
6 - 9,White,Tx,1574
6 - 9,Black,Tx,128
6 - 9,Hispanic,Tx,396
6 - 9,Other,Tx,180
6 - 9,Total,Tx,2278
10 - 15,White,Tx,2678
10 - 15,Black,Tx,226
10 - 15,Hispanic,Tx,601
10 - 15,Other,Tx,247
10 - 15,Total,Tx,3751
16 - 19,White,Tx,1671
16 - 19,Black,Tx,182
16 - 19,Hispanic,Tx,393
16 - 19,Other,Tx,137
16 - 19,Total,Tx,2383
20 - 21,White,Tx,613
20 - 21,Black,Tx,79
20 - 21,Hispanic,Tx,176
20 - 21,Other,Tx,51
20 - 21,Total,Tx,919
0 - 21,White,Life,23689
0 - 21,Black,Life,2193
0 - 21,Hispanic,Life,6210
0 - 21,Other,Life,2507
0 - 21,Total,Life,34599
0 - 5,White,Life,5278
0 - 5,Black,Life,462
0 - 5,Hispanic,Life,1800
0 - 5,Other,Life,774
0 - 5,Total,Life,8314
6 - 9,White,Life,4433
6 - 9,Black,Life,361
6 - 9,Hispanic,Life,1116
6 - 9,Other,Life,507
6 - 9,Total,Life,6418
10 - 15,White,Life,7543
10 - 15,Black,Life,636
10 - 15,Hispanic,Life,1692
10 - 15,Other,Life,695
10 - 15,Total,Life,10566
16 - 19,White,Life,4708
16 - 19,Black,Life,512
16 - 19,Hispanic,Life,1106
16 - 19,Other,Life,387
16 - 19,Total,Life,6713
20 - 21,White,Life,1727
20 - 21,Black,Life,223
20 - 21,Hispanic,Life,495
20 - 21,Other,Life,144
20 - 21,Total,Life,2589
