Group,Race,Label,Value
0 - 21,White,Pop,110484
0 - 21,Black,Pop,28872
0 - 21,Hispanic,Pop,46879
0 - 21,Other,Pop,15922
0 - 21,Total,Pop,202157
0 - 5,White,Pop,27439
0 - 5,Black,Pop,6852
0 - 5,Hispanic,Pop,13612
0 - 5,Other,Pop,5494
0 - 5,Total,Pop,53397
6 - 9,White,Pop,21644
6 - 9,Black,Pop,4887
6 - 9,Hispanic,Pop,8311
6 - 9,Other,Pop,3279
6 - 9,Total,Pop,38121
10 - 15,White,Pop,34728
10 - 15,Black,Pop,8336
10 - 15,Hispanic,Pop,12373
10 - 15,Other,Pop,4163
10 - 15,Total,Pop,59600
16 - 19,White,Pop,19720
16 - 19,Black,Pop,6092
16 - 19,Hispanic,Pop,8374
16 - 19,Other,Pop,2153
16 - 19,Total,Pop,36339
20 - 21,White,Pop,6953
20 - 21,Black,Pop,2705
20 - 21,Hispanic,Pop,4209
20 - 21,Other,Pop,833
20 - 21,Total,Pop,14700
0 - 21,White,Tx,7844
0 - 21,Black,Tx,2050
0 - 21,Hispanic,Tx,3328
0 - 21,Other,Tx,1130
0 - 21,Total,Tx,14353
0 - 5,White,Tx,1948
0 - 5,Black,Tx,486
0 - 5,Hispanic,Tx,966
0 - 5,Other,Tx,390
0 - 5,Total,Tx,3791
6 - 9,White,Tx,1537
6 - 9,Black,Tx,347
6 - 9,Hispanic,Tx,590
6 - 9,Other,Tx,233
6 - 9,Total,Tx,2707
10 - 15,White,Tx,2466
10 - 15,Black,Tx,592
10 - 15,Hispanic,Tx,878
10 - 15,Other,Tx,296
10 - 15,Total,Tx,4232
16 - 19,White,Tx,1400
16 - 19,Black,Tx,433
16 - 19,Hispanic,Tx,595
16 - 19,Other,Tx,153
16 - 19,Total,Tx,2580
20 - 21,White,Tx,494
20 - 21,Black,Tx,192
20 - 21,Hispanic,Tx,299
20 - 21,Other,Tx,59
20 - 21,Total,Tx,1044
0 - 21,White,Life,22097
0 - 21,Black,Life,5774
0 - 21,Hispanic,Life,9376
0 - 21,Other,Life,3184
0 - 21,Total,Life,40431
0 - 5,White,Life,5488
0 - 5,Black,Life,1370
0 - 5,Hispanic,Life,2722
0 - 5,Other,Life,1099
0 - 5,Total,Life,10679
6 - 9,White,Life,4329
6 - 9,Black,Life,977
6 - 9,Hispanic,Life,1662
6 - 9,Other,Life,656
6 - 9,Total,Life,7624
10 - 15,White,Life,6946
10 - 15,Black,Life,1667
10 - 15,Hispanic,Life,2475
10 - 15,Other,Life,833
10 - 15,Total,Life,11920
16 - 19,White,Life,3944
16 - 19,Black,Life,1218
16 - 19,Hispanic,Life,1675
16 - 19,Other,Life,431
16 - 19,Total,Life,7268
20 - 21,White,Life,1391
20 - 21,Black,Life,541
20 - 21,Hispanic,Life,842
20 - 21,Other,Life,167
20 - 21,Total,Life,2940
