Group,Race,Label,Value
0 - 21,White,Pop,88076
0 - 21,Black,Pop,6916
0 - 21,Hispanic,Pop,28915
0 - 21,Other,Pop,9689
0 - 21,Total,Pop,133596
0 - 5,White,Pop,19867
0 - 5,Black,Pop,1648
0 - 5,Hispanic,Pop,8352
0 - 5,Other,Pop,3206
0 - 5,Total,Pop,33073
6 - 9,White,Pop,16014
6 - 9,Black,Pop,1122
6 - 9,Hispanic,Pop,5287
6 - 9,Other,Pop,2035
6 - 9,Total,Pop,24458
10 - 15,White,Pop,27080
10 - 15,Black,Pop,2045
10 - 15,Hispanic,Pop,8058
10 - 15,Other,Pop,2660
10 - 15,Total,Pop,39843
16 - 19,White,Pop,17824
16 - 19,Black,Pop,1416
16 - 19,Hispanic,Pop,4998
16 - 19,Other,Pop,1325
16 - 19,Total,Pop,25563
20 - 21,White,Pop,7291
20 - 21,Black,Pop,685
20 - 21,Hispanic,Pop,2220
20 - 21,Other,Pop,463
20 - 21,Total,Pop,10659
0 - 21,White,Tx,6253
0 - 21,Black,Tx,491
0 - 21,Hispanic,Tx,2053
0 - 21,Other,Tx,688
0 - 21,Total,Tx,9485
0 - 5,White,Tx,1411
0 - 5,Black,Tx,117
0 - 5,Hispanic,Tx,593
0 - 5,Other,Tx,228
0 - 5,Total,Tx,2348
6 - 9,White,Tx,1137
6 - 9,Black,Tx,80
6 - 9,Hispanic,Tx,375
6 - 9,Other,Tx,144
6 - 9,Total,Tx,1737
10 - 15,White,Tx,1923
10 - 15,Black,Tx,145
10 - 15,Hispanic,Tx,572
10 - 15,Other,Tx,189
10 - 15,Total,Tx,2829
16 - 19,White,Tx,1266
16 - 19,Black,Tx,101
16 - 19,Hispanic,Tx,355
16 - 19,Other,Tx,94
16 - 19,Total,Tx,1815
20 - 21,White,Tx,518
20 - 21,Black,Tx,49
20 - 21,Hispanic,Tx,158
20 - 21,Other,Tx,33
20 - 21,Total,Tx,757
0 - 21,White,Life,17615
0 - 21,Black,Life,1383
0 - 21,Hispanic,Life,5783
0 - 21,Other,Life,1938
0 - 21,Total,Life,26719
0 - 5,White,Life,3973
0 - 5,Black,Life,330
0 - 5,Hispanic,Life,1670
0 - 5,Other,Life,641
0 - 5,Total,Life,6615
6 - 9,White,Life,3203
6 - 9,Black,Life,224
6 - 9,Hispanic,Life,1057
6 - 9,Other,Life,407
6 - 9,Total,Life,4892
10 - 15,White,Life,5416
10 - 15,Black,Life,409
10 - 15,Hispanic,Life,1612
10 - 15,Other,Life,532
10 - 15,Total,Life,7969
16 - 19,White,Life,3565
16 - 19,Black,Life,283
16 - 19,Hispanic,Life,1000
16 - 19,Other,Life,265
16 - 19,Total,Life,5113
20 - 21,White,Life,1458
20 - 21,Black,Life,137
20 - 21,Hispanic,Life,444
20 - 21,Other,Life,93
20 - 21,Total,Life,2132
