Group,Race,Label,Value,Region
0 - 21,Black,Pop,6916,Central
0 - 21,Black,Tx,491,Central
0 - 21,Black,Life,1383,Central
0 - 21,Hispanic,Pop,28915,Central
0 - 21,Hispanic,Tx,2053,Central
0 - 21,Hispanic,Life,5783,Central
0 - 21,Other,Pop,9689,Central
0 - 21,Other,Tx,688,Central
0 - 21,Other,Life,1938,Central
0 - 21,Total,Pop,133596,Central
0 - 21,Total,Tx,9485,Central
0 - 21,Total,Life,26719,Central
0 - 21,White,Pop,88076,Central
0 - 21,White,Tx,6253,Central
0 - 21,White,Life,17615,Central
0 - 5,Black,Pop,1648,Central
0 - 5,Black,Tx,117,Central
0 - 5,Black,Life,330,Central
0 - 5,Hispanic,Pop,8352,Central
0 - 5,Hispanic,Tx,593,Central
0 - 5,Hispanic,Life,1670,Central
0 - 5,Other,Pop,3206,Central
0 - 5,Other,Tx,228,Central
0 - 5,Other,Life,641,Central
0 - 5,Total,Pop,33073,Central
0 - 5,Total,Tx,2348,Central
0 - 5,Total,Life,6615,Central
0 - 5,White,Pop,19867,Central
0 - 5,White,Tx,1411,Central
0 - 5,White,Life,3973,Central
10 - 15,Black,Pop,2045,Central
10 - 15,Black,Tx,145,Central
10 - 15,Black,Life,409,Central
10 - 15,Hispanic,Pop,8058,Central
10 - 15,Hispanic,Tx,572,Central
10 - 15,Hispanic,Life,1612,Central
10 - 15,Other,Pop,2660,Central
10 - 15,Other,Tx,189,Central
10 - 15,Other,Life,532,Central
10 - 15,Total,Pop,39843,Central
10 - 15,Total,Tx,2829,Central
10 - 15,Total,Life,7969,Central
10 - 15,White,Pop,27080,Central
10 - 15,White,Tx,1923,Central
10 - 15,White,Life,5416,Central
16 - 19,Black,Pop,1416,Central
16 - 19,Black,Tx,101,Central
16 - 19,Black,Life,283,Central
16 - 19,Hispanic,Pop,4998,Central
16 - 19,Hispanic,Tx,355,Central
16 - 19,Hispanic,Life,1000,Central
16 - 19,Other,Pop,1325,Central
16 - 19,Other,Tx,94,Central
16 - 19,Other,Life,265,Central
16 - 19,Total,Pop,25563,Central
16 - 19,Total,Tx,1815,Central
16 - 19,Total,Life,5113,Central
16 - 19,White,Pop,17824,Central
16 - 19,White,Tx,1266,Central
16 - 19,White,Life,3565,Central
20 - 21,Black,Pop,685,Central
20 - 21,Black,Tx,49,Central
20 - 21,Black,Life,137,Central
20 - 21,Hispanic,Pop,2220,Central
20 - 21,Hispanic,Tx,158,Central
20 - 21,Hispanic,Life,444,Central
20 - 21,Other,Pop,463,Central
20 - 21,Other,Tx,33,Central
20 - 21,Other,Life,93,Central
20 - 21,Total,Pop,10659,Central
20 - 21,Total,Tx,757,Central
20 - 21,Total,Life,2132,Central
20 - 21,White,Pop,7291,Central
20 - 21,White,Tx,518,Central
20 - 21,White,Life,1458,Central
6 - 9,Black,Pop,1122,Central
6 - 9,Black,Tx,80,Central
6 - 9,Black,Life,224,Central
6 - 9,Hispanic,Pop,5287,Central
6 - 9,Hispanic,Tx,375,Central
6 - 9,Hispanic,Life,1057,Central
6 - 9,Other,Pop,2035,Central
6 - 9,Other,Tx,144,Central
6 - 9,Other,Life,407,Central
6 - 9,Total,Pop,24458,Central
6 - 9,Total,Tx,1737,Central
6 - 9,Total,Life,4892,Central
6 - 9,White,Pop,16014,Central
6 - 9,White,Tx,1137,Central
6 - 9,White,Life,3203,Central
0 - 21,Black,Pop,8445,East
0 - 21,Black,Tx,600,East
0 - 21,Black,Life,1689,East
0 - 21,Hispanic,Pop,20745,East
0 - 21,Hispanic,Tx,1473,East
0 - 21,Hispanic,Life,4149,East
0 - 21,Other,Pop,15889,East
0 - 21,Other,Tx,1128,East
0 - 21,Other,Life,3178,East
0 - 21,Total,Pop,184617,East
0 - 21,Total,Tx,13108,East
0 - 21,Total,Life,36923,East
0 - 21,White,Pop,139535,East
0 - 21,White,Tx,9907,East
0 - 21,White,Life,27907,East
0 - 5,Black,Pop,1782,East
0 - 5,Black,Tx,127,East
0 - 5,Black,Life,356,East
0 - 5,Hispanic,Pop,5686,East
0 - 5,Hispanic,Tx,404,East
0 - 5,Hispanic,Life,1137,East
0 - 5,Other,Pop,4368,East
0 - 5,Other,Tx,310,East
0 - 5,Other,Life,874,East
0 - 5,Total,Pop,40306,East
0 - 5,Total,Tx,2862,East
0 - 5,Total,Life,8061,East
0 - 5,White,Pop,28470,East
0 - 5,White,Tx,2021,East
0 - 5,White,Life,5694,East
10 - 15,Black,Pop,2084,East
10 - 15,Black,Tx,148,East
10 - 15,Black,Life,417,East
10 - 15,Hispanic,Pop,5242,East
10 - 15,Hispanic,Tx,372,East
10 - 15,Hispanic,Life,1048,East
10 - 15,Other,Pop,3967,East
10 - 15,Other,Tx,282,East
10 - 15,Other,Life,793,East
10 - 15,Total,Pop,50098,East
10 - 15,Total,Tx,3557,East
10 - 15,Total,Life,10020,East
10 - 15,White,Pop,38805,East
10 - 15,White,Tx,2755,East
10 - 15,White,Life,7761,East
16 - 19,Black,Pop,1967,East
16 - 19,Black,Tx,140,East
16 - 19,Black,Life,393,East
16 - 19,Hispanic,Pop,3921,East
16 - 19,Hispanic,Tx,278,East
16 - 19,Hispanic,Life,784,East
16 - 19,Other,Pop,2966,East
16 - 19,Other,Tx,211,East
16 - 19,Other,Life,593,East
16 - 19,Total,Pop,40287,East
16 - 19,Total,Tx,2860,East
16 - 19,Total,Life,8057,East
16 - 19,White,Pop,31433,East
16 - 19,White,Tx,2232,East
16 - 19,White,Life,6287,East
20 - 21,Black,Pop,1381,East
20 - 21,Black,Tx,98,East
20 - 21,Black,Life,276,East
20 - 21,Hispanic,Pop,2222,East
20 - 21,Hispanic,Tx,158,East
20 - 21,Hispanic,Life,444,East
20 - 21,Other,Pop,1845,East
20 - 21,Other,Tx,131,East
20 - 21,Other,Life,369,East
20 - 21,Total,Pop,23260,East
20 - 21,Total,Tx,1651,East
20 - 21,Total,Life,4652,East
20 - 21,White,Pop,17812,East
20 - 21,White,Tx,1265,East
20 - 21,White,Life,3562,East
6 - 9,Black,Pop,1231,East
6 - 9,Black,Tx,87,East
6 - 9,Black,Life,246,East
6 - 9,Hispanic,Pop,3677,East
6 - 9,Hispanic,Tx,261,East
6 - 9,Hispanic,Life,735,East
6 - 9,Other,Pop,2743,East
6 - 9,Other,Tx,195,East
6 - 9,Other,Life,549,East
6 - 9,Total,Pop,30666,East
6 - 9,Total,Tx,2177,East
6 - 9,Total,Life,6133,East
6 - 9,White,Pop,23015,East
6 - 9,White,Tx,1634,East
6 - 9,White,Life,4603,East
0 - 21,Black,Pop,32430,North Central
0 - 21,Black,Tx,2303,North Central
0 - 21,Black,Life,6486,North Central
0 - 21,Hispanic,Pop,39415,North Central
0 - 21,Hispanic,Tx,2798,North Central
0 - 21,Hispanic,Life,7883,North Central
0 - 21,Other,Pop,14783,North Central
0 - 21,Other,Tx,1050,North Central
0 - 21,Other,Life,2957,North Central
0 - 21,Total,Pop,174113,North Central
0 - 21,Total,Tx,12362,North Central
0 - 21,Total,Life,34823,North Central
0 - 21,White,Pop,87485,North Central
0 - 21,White,Tx,6211,North Central
0 - 21,White,Life,17497,North Central
0 - 5,Black,Pop,7758,North Central
0 - 5,Black,Tx,551,North Central
0 - 5,Black,Life,1552,North Central
0 - 5,Hispanic,Pop,11045,North Central
0 - 5,Hispanic,Tx,784,North Central
0 - 5,Hispanic,Life,2209,North Central
0 - 5,Other,Pop,4808,North Central
0 - 5,Other,Tx,341,North Central
0 - 5,Other,Life,962,North Central
0 - 5,Total,Pop,43154,North Central
0 - 5,Total,Tx,3064,North Central
0 - 5,Total,Life,8631,North Central
0 - 5,White,Pop,19543,North Central
0 - 5,White,Tx,1388,North Central
0 - 5,White,Life,3909,North Central
0 - 6,Black,Pop,5514,North Central
0 - 6,Black,Tx,391,North Central
0 - 6,Black,Life,1103,North Central
