Group,Race,Label,Value
0 - 21,White,Pop,76429
0 - 21,Black,Pop,26009
0 - 21,Hispanic,Pop,28410
0 - 21,Other,Pop,11857
0 - 21,Total,Pop,142705
0 - 5,White,Pop,15911
0 - 5,Black,Pop,6218
0 - 5,Hispanic,Pop,8234
0 - 5,Other,Pop,3514
0 - 5,Total,Pop,33877
6 - 9,White,Pop,11787
6 - 9,Black,Pop,4261
6 - 9,Hispanic,Pop,5050
6 - 9,Other,Pop,2065
6 - 9,Total,Pop,23163
10 - 15,White,Pop,20423
10 - 15,Black,Pop,7113
10 - 15,Hispanic,Pop,7276
10 - 15,Other,Pop,2829
10 - 15,Total,Pop,37641
16 - 19,White,Pop,17855
16 - 19,Black,Pop,5578
16 - 19,Hispanic,Pop,5231
16 - 19,Other,Pop,2111
16 - 19,Total,Pop,30775
20 - 21,White,Pop,10453
20 - 21,Black,Pop,2839
20 - 21,Hispanic,Pop,2619
20 - 21,Other,Pop,1338
20 - 21,Total,Pop,17249
0 - 21,White,Tx,5426
0 - 21,Black,Tx,1847
0 - 21,Hispanic,Tx,2017
0 - 21,Other,Tx,842
0 - 21,Total,Tx,10132
0 - 5,White,Tx,1130
0 - 5,Black,Tx,441
0 - 5,Hispanic,Tx,585
0 - 5,Other,Tx,249
0 - 5,Total,Tx,2405
6 - 9,White,Tx,837
6 - 9,Black,Tx,303
6 - 9,Hispanic,Tx,359
6 - 9,Other,Tx,147
6 - 9,Total,Tx,1645
10 - 15,White,Tx,1450
10 - 15,Black,Tx,505
10 - 15,Hispanic,Tx,517
10 - 15,Other,Tx,201
10 - 15,Total,Tx,2673
16 - 19,White,Tx,1268
16 - 19,Black,Tx,396
16 - 19,Hispanic,Tx,371
16 - 19,Other,Tx,150
16 - 19,Total,Tx,2185
20 - 21,White,Tx,742
20 - 21,Black,Tx,202
20 - 21,Hispanic,Tx,186
20 - 21,Other,Tx,95
20 - 21,Total,Tx,1225
0 - 21,White,Life,15286
0 - 21,Black,Life,5202
0 - 21,Hispanic,Life,5682
0 - 21,Other,Life,2371
0 - 21,Total,Life,28541
0 - 5,White,Life,3182
0 - 5,Black,Life,1244
0 - 5,Hispanic,Life,1647
0 - 5,Other,Life,703
0 - 5,Total,Life,6775
6 - 9,White,Life,2357
6 - 9,Black,Life,852
6 - 9,Hispanic,Life,1010
6 - 9,Other,Life,413
6 - 9,Total,Life,4633
10 - 15,White,Life,4085
10 - 15,Black,Life,1423
10 - 15,Hispanic,Life,1455
10 - 15,Other,Life,566
10 - 15,Total,Life,7528
16 - 19,White,Life,3571
16 - 19,Black,Life,1116
16 - 19,Hispanic,Life,1046
16 - 19,Other,Life,422
16 - 19,Total,Life,6155
20 - 21,White,Life,2091
20 - 21,Black,Life,568
20 - 21,Hispanic,Life,524
20 - 21,Other,Life,268
20 - 21,Total,Life,3450
